Majority protein IDs	gene_name	GO - Biological Process	GO - Cellular Component	GO - Molecular Function	KEGG Pathway Info
XP_020949745.1;XP_013853721.1;XP_003126976.1;XP_003126975.1	TPPP3	GO:0046785 [Name: microtubule polymerization]; GO:0001578 [Name: microtubule bundle formation]; GO:0032273 [Name: positive regulation of protein polymerization]	GO:0005874 [Name: microtubule]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0097427 [Name: microtubule bundle]	GO:0015631 [Name: tubulin binding]	-
XP_020949896.1;XP_020949895.1;XP_013853733.2;XP_013853732.2;XP_020949897.1;XP_020949894.1	PHKB	GO:0006091 [Name: generation of precursor metabolites and energy]; GO:0006468 [Name: protein phosphorylation]; GO:0005977 [Name: glycogen metabolic process]	GO:0005886 [Name: plasma membrane]; GO:0005964 [Name: phosphorylase kinase complex]; GO:0005829 [Name: cytosol]	GO:0004689 [Name: phosphorylase kinase activity]; GO:0005515 [Name: protein binding]; GO:0005516 [Name: calmodulin binding]	hsa04922 [Pathway Title: Glucagon signaling pathway]; hsa04020 [Pathway Title: Calcium signaling pathway]; hsa04910 [Pathway Title: Insulin signaling pathway]
XP_020949905.1	VPS35	"GO:0098887 [Name: neurotransmitter receptor transport, endosome to postsynaptic membrane]; GO:1905166 [Name: negative regulation of lysosomal protein catabolic process]; GO:1905606 [Name: regulation of presynapse assembly]; GO:0010629 [Name: negative regulation of gene expression]; GO:0031648 [Name: protein destabilization]; GO:0043653 [Name: mitochondrial fragmentation involved in apoptotic process]; GO:0090326 [Name: positive regulation of locomotion involved in locomotory behavior]; GO:1901215 [Name: negative regulation of neuron death]; GO:0007416 [Name: synapse assembly]; GO:0010821 [Name: regulation of mitochondrion organization]; GO:0045056 [Name: transcytosis]; GO:0033365 [Name: protein localization to organelle]; GO:0042147 [Name: retrograde transport, endosome to Golgi]; GO:0050728 [Name: negative regulation of inflammatory response]; GO:1902823 [Name: negative regulation of late endosome to lysosome transport]; GO:2000331 [Name: regulation of terminal button organization]; GO:0016241 [Name: regulation of macroautophagy]; GO:0061357 [Name: positive regulation of Wnt protein secretion]; GO:1903364 [Name: positive regulation of cellular protein catabolic process]; GO:0031647 [Name: regulation of protein stability]; GO:0032268 [Name: regulation of cellular protein metabolic process]; GO:1903181 [Name: positive regulation of dopamine biosynthetic process]; GO:1903828 [Name: negative regulation of cellular protein localization]; GO:1990126 [Name: retrograde transport, endosome to plasma membrane]; GO:0007040 [Name: lysosome organization]; GO:0060161 [Name: positive regulation of dopamine receptor signaling pathway]; GO:0032463 [Name: negative regulation of protein homooligomerization]; GO:0090263 [Name: positive regulation of canonical Wnt signaling pathway]; GO:0099074 [Name: mitochondrion to lysosome transport]; GO:1902950 [Name: regulation of dendritic spine maintenance]; GO:0016055 [Name: Wnt signaling pathway]; GO:0006886 [Name: intracellular protein transport]; GO:0016032 [Name: viral process]; GO:0010628 [Name: positive regulation of gene expression]; GO:0060548 [Name: negative regulation of cell death]; GO:0099639 [Name: neurotransmitter receptor transport, endosome to plasma membrane]; GO:0050882 [Name: voluntary musculoskeletal movement]; GO:0090141 [Name: positive regulation of mitochondrial fission]; GO:0099003 [Name: vesicle-mediated transport in synapse]"	"GO:0005765 [Name: lysosomal membrane]; GO:0010008 [Name: endosome membrane]; GO:0005768 [Name: endosome]; GO:0005886 [Name: plasma membrane]; GO:0014069 [Name: postsynaptic density]; GO:0097422 [Name: tubular endosome]; GO:0005770 [Name: late endosome]; GO:0098793 [Name: presynapse]; GO:0005739 [Name: mitochondrion]; GO:0070062 [Name: extracellular exosome]; GO:0005769 [Name: early endosome]; GO:0043005 [Name: neuron projection]; GO:0043025 [Name: neuronal cell body]; GO:0099073 [Name: mitochondrion-derived vesicle]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0005764 [Name: lysosome]; GO:0005829 [Name: cytosol]; GO:0030904 [Name: retromer complex]; GO:0030906 [Name: retromer, cargo-selective complex]; GO:0098978 [Name: glutamatergic synapse]"	GO:0031748 [Name: D1 dopamine receptor binding]; GO:0005515 [Name: protein binding]; GO:0008565 [Name: protein transporter activity]	hsa04144 [Pathway Title: Endocytosis]
XP_020949912.1;XP_020949911.1;XP_020949910.1;XP_020949909.1	C6H19orf12	-	-	-	-
XP_020949999.1;XP_020949979.1;XP_020949970.1;XP_020949961.1;XP_020949956.1;XP_020949954.1;XP_020949949.1;XP_020949942.1;XP_020949934.1;XP_020949928.1;XP_020949921.1;XP_020949914.1;XP_020949993.1;XP_020949986.1	TLN2	GO:0007155 [Name: cell adhesion]; GO:0007016 [Name: cytoskeletal anchoring at plasma membrane]; GO:0007043 [Name: cell-cell junction assembly]	GO:0005925 [Name: focal adhesion]; GO:0045202 [Name: synapse]; GO:0005737 [Name: cytoplasm]; GO:0005886 [Name: plasma membrane]; GO:0015629 [Name: actin cytoskeleton]; GO:0001726 [Name: ruffle]	GO:0005198 [Name: structural molecule activity]; GO:0051015 [Name: actin filament binding]; GO:0005200 [Name: structural constituent of cytoskeleton]; GO:0003779 [Name: actin binding]; GO:0005515 [Name: protein binding]	hsa04015 [Pathway Title: Rap1 signaling pathway]; hsa04510 [Pathway Title: Focal adhesion]; hsa05166 [Pathway Title: HTLV-I infection]; hsa04611 [Pathway Title: Platelet activation]
XP_020950008.1	HNRNPL	"GO:0000398 [Name: mRNA splicing, via spliceosome]; GO:0034198 [Name: cellular response to amino acid starvation]; GO:0045727 [Name: positive regulation of translation]; GO:0016070 [Name: RNA metabolic process]; GO:0000381 [Name: regulation of alternative mRNA splicing, via spliceosome]; GO:0006396 [Name: RNA processing]; GO:0007623 [Name: circadian rhythm]; GO:1902416 [Name: positive regulation of mRNA binding]; GO:0048025 [Name: negative regulation of mRNA splicing, via spliceosome]; GO:1901652 [Name: response to peptide]"	GO:0005829 [Name: cytosol]; GO:0016020 [Name: membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0045120 [Name: pronucleus]; GO:0005654 [Name: nucleoplasm]; GO:0035770 [Name: ribonucleoprotein granule]; GO:0070062 [Name: extracellular exosome]; GO:0005634 [Name: nucleus]	GO:0003730 [Name: mRNA 3'-UTR binding]; GO:0003723 [Name: RNA binding]; GO:1990715 [Name: mRNA CDS binding]; GO:0044212 [Name: transcription regulatory region DNA binding]; GO:0005515 [Name: protein binding]; GO:0097157 [Name: pre-mRNA intronic binding]	-
XP_020950032.1;XP_020950029.1;XP_020950024.1;XP_020950021.1	VPS13C	GO:0007005 [Name: mitochondrion organization]; GO:0006895 [Name: Golgi to endosome transport]; GO:1905090 [Name: negative regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization]; GO:0006623 [Name: protein targeting to vacuole]; GO:0045053 [Name: protein retention in Golgi apparatus]	GO:0005829 [Name: cytosol]; GO:0070062 [Name: extracellular exosome]; GO:0019898 [Name: extrinsic component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0005741 [Name: mitochondrial outer membrane]	-	-
XP_020950042.1	PSMC4	GO:0016579 [Name: protein deubiquitination]; GO:0045899 [Name: positive regulation of RNA polymerase II transcriptional preinitiation complex assembly]; GO:0001824 [Name: blastocyst development]; GO:0006508 [Name: proteolysis]; GO:0043687 [Name: post-translational protein modification]; GO:0030163 [Name: protein catabolic process]; GO:1901800 [Name: positive regulation of proteasomal protein catabolic process]	"GO:0005654 [Name: nucleoplasm]; GO:0045202 [Name: synapse]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]; GO:0008540 [Name: proteasome regulatory particle, base subcomplex]; GO:0022624 [Name: proteasome accessory complex]; GO:0031597 [Name: cytosolic proteasome complex]; GO:0000502 [Name: proteasome complex]; GO:0005634 [Name: nucleus]; GO:0016234 [Name: inclusion body]"	GO:0005515 [Name: protein binding]; GO:0005524 [Name: ATP binding]; GO:0016887 [Name: ATPase activity]; GO:0036402 [Name: proteasome-activating ATPase activity]	hsa05169 [Pathway Title: Epstein-Barr virus infection]; hsa03050 [Pathway Title: Proteasome]
XP_020950058.1	LTBP4	GO:0001558 [Name: regulation of cell growth]; GO:0007179 [Name: transforming growth factor beta receptor signaling pathway]; GO:0007275 [Name: multicellular organism development]; GO:0030252 [Name: growth hormone secretion]; GO:0045595 [Name: regulation of cell differentiation]; GO:0030162 [Name: regulation of proteolysis]; GO:0006457 [Name: protein folding]; GO:0017015 [Name: regulation of transforming growth factor beta receptor signaling pathway]	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]; GO:0031012 [Name: extracellular matrix]	GO:0005201 [Name: extracellular matrix structural constituent]; GO:0005539 [Name: glycosaminoglycan binding]; GO:0005509 [Name: calcium ion binding]; GO:0005178 [Name: integrin binding]; GO:0050431 [Name: transforming growth factor beta binding]; GO:0005024 [Name: transforming growth factor beta-activated receptor activity]; GO:0005515 [Name: protein binding]	-
XP_020950067.1;XP_003481903.1	RAB4B	GO:0006886 [Name: intracellular protein transport]; GO:0043312 [Name: neutrophil degranulation]; GO:0032482 [Name: Rab protein signal transduction]; GO:0046323 [Name: glucose import]; GO:0030100 [Name: regulation of endocytosis]	GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0030667 [Name: secretory granule membrane]; GO:0055037 [Name: recycling endosome]; GO:0032593 [Name: insulin-responsive compartment]; GO:0005768 [Name: endosome]; GO:0005886 [Name: plasma membrane]	GO:0003674 [Name: molecular_function]; GO:0003924 [Name: GTPase activity]; GO:0005525 [Name: GTP binding]; GO:0005515 [Name: protein binding]	-
XP_020950071.1;XP_020950072.1	LOC102165015	-	-	-	-
XP_020950073.1	LOC106510546	-	-	-	-
XP_020950075.1	HNRNPUL1	"GO:0006396 [Name: RNA processing]; GO:0000398 [Name: mRNA splicing, via spliceosome]; GO:0009615 [Name: response to virus]"	GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]	GO:0005515 [Name: protein binding]; GO:0003723 [Name: RNA binding]; GO:0019899 [Name: enzyme binding]	hsa05164 [Pathway Title: Influenza A]
XP_020950139.1	CADM4	GO:0042127 [Name: regulation of cell proliferation]; GO:0001933 [Name: negative regulation of protein phosphorylation]; GO:0001932 [Name: regulation of protein phosphorylation]; GO:0007155 [Name: cell adhesion]; GO:0030948 [Name: negative regulation of vascular endothelial growth factor receptor signaling pathway]; GO:0035020 [Name: regulation of Rac protein signal transduction]; GO:1900747 [Name: negative regulation of vascular endothelial growth factor signaling pathway]; GO:2000145 [Name: regulation of cell motility]; GO:0010801 [Name: negative regulation of peptidyl-threonine phosphorylation]; GO:0050732 [Name: negative regulation of peptidyl-tyrosine phosphorylation]; GO:0061041 [Name: regulation of wound healing]	GO:0016021 [Name: integral component of membrane]; GO:0031252 [Name: cell leading edge]; GO:0044291 [Name: cell-cell contact zone]	GO:0043184 [Name: vascular endothelial growth factor receptor 2 binding]; GO:0030971 [Name: receptor tyrosine kinase binding]; GO:0019903 [Name: protein phosphatase binding]; GO:0043183 [Name: vascular endothelial growth factor receptor 1 binding]	-
XP_020950223.1;XP_020950222.1;XP_020950221.1;XP_020950220.1;XP_020950226.1;XP_020950225.1;XP_020950224.1;XP_020950219.1;XP_020950218.1	VASP	GO:0001843 [Name: neural tube closure]; GO:0034329 [Name: cell junction assembly]; GO:0030838 [Name: positive regulation of actin filament polymerization]; GO:0051289 [Name: protein homotetramerization]; GO:0007411 [Name: axon guidance]; GO:0008154 [Name: actin polymerization or depolymerization]	GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]; GO:0031258 [Name: lamellipodium membrane]; GO:0005925 [Name: focal adhesion]; GO:0031527 [Name: filopodium membrane]; GO:0015629 [Name: actin cytoskeleton]; GO:0005923 [Name: bicellular tight junction]; GO:0005886 [Name: plasma membrane]	GO:0003779 [Name: actin binding]; GO:0005515 [Name: protein binding]; GO:0017124 [Name: SH3 domain binding]; GO:0005522 [Name: profilin binding]; GO:0045296 [Name: cadherin binding]	hsa04670 [Pathway Title: Leukocyte transendothelial migration]; hsa04611 [Pathway Title: Platelet activation]; hsa04015 [Pathway Title: Rap1 signaling pathway]; hsa04022 [Pathway Title: cGMP-PKG signaling pathway]; hsa04510 [Pathway Title: Focal adhesion]; hsa04666 [Pathway Title: Fc gamma R-mediated phagocytosis]
XP_020950232.1;XP_020950231.1;XP_020950229.1;XP_020950230.1	EML2	GO:0007601 [Name: visual perception]; GO:0031115 [Name: negative regulation of microtubule polymerization]; GO:0007605 [Name: sensory perception of sound]; GO:0010968 [Name: regulation of microtubule nucleation]	GO:0015630 [Name: microtubule cytoskeleton]; GO:0005874 [Name: microtubule]; GO:0072686 [Name: mitotic spindle]; GO:0005875 [Name: microtubule associated complex]; GO:0005737 [Name: cytoplasm]	GO:0015631 [Name: tubulin binding]; GO:0005102 [Name: receptor binding]; GO:0008022 [Name: protein C-terminus binding]; GO:0005515 [Name: protein binding]; GO:0008017 [Name: microtubule binding]	-
XP_020950265.1;XP_020950257.1;XP_020950268.1	ALDH1A2	GO:0001936 [Name: regulation of endothelial cell proliferation]; GO:0033189 [Name: response to vitamin A]; GO:0042572 [Name: retinol metabolic process]; GO:0042574 [Name: retinal metabolic process]; GO:0001889 [Name: liver development]; GO:0008284 [Name: positive regulation of cell proliferation]; GO:0030902 [Name: hindbrain development]; GO:0034097 [Name: response to cytokine]; GO:0042904 [Name: 9-cis-retinoic acid biosynthetic process]; GO:0048738 [Name: cardiac muscle tissue development]; GO:0071300 [Name: cellular response to retinoic acid]; GO:0090242 [Name: retinoic acid receptor signaling pathway involved in somitogenesis]; GO:0003007 [Name: heart morphogenesis]; GO:0009954 [Name: proximal/distal pattern formation]; GO:0014032 [Name: neural crest cell development]; GO:0016331 [Name: morphogenesis of embryonic epithelium]; GO:0031016 [Name: pancreas development]; GO:0006776 [Name: vitamin A metabolic process]; GO:0030182 [Name: neuron differentiation]; GO:0035799 [Name: ureter maturation]; GO:0043065 [Name: positive regulation of apoptotic process]; GO:0048566 [Name: embryonic digestive tract development]; GO:0055114 [Name: oxidation-reduction process]; GO:0009855 [Name: determination of bilateral symmetry]; GO:0008285 [Name: negative regulation of cell proliferation]; GO:0010628 [Name: positive regulation of gene expression]; GO:0021915 [Name: neural tube development]; GO:0021983 [Name: pituitary gland development]; GO:0030324 [Name: lung development]; GO:0035115 [Name: embryonic forelimb morphogenesis]; GO:0007494 [Name: midgut development]; GO:0001568 [Name: blood vessel development]; GO:0001822 [Name: kidney development]; GO:0031076 [Name: embryonic camera-type eye development]; GO:0032355 [Name: response to estradiol]; GO:0042573 [Name: retinoic acid metabolic process]; GO:0060324 [Name: face development]	GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]	GO:0001758 [Name: retinal dehydrogenase activity]; GO:0004028 [Name: 3-chloroallyl aldehyde dehydrogenase activity]; GO:0004029 [Name: aldehyde dehydrogenase (NAD) activity]; GO:0016918 [Name: retinal binding]	hsa00830 [Pathway Title: Retinol metabolism]; hsa01100 [Pathway Title: Metabolic pathways]
XP_020950359.1	RPL18	"GO:0006413 [Name: translational initiation]; GO:0006614 [Name: SRP-dependent cotranslational protein targeting to membrane]; GO:0002181 [Name: cytoplasmic translation]; GO:0000184 [Name: nuclear-transcribed mRNA catabolic process, nonsense-mediated decay]; GO:0006412 [Name: translation]"	GO:0016020 [Name: membrane]; GO:0005925 [Name: focal adhesion]; GO:0022625 [Name: cytosolic large ribosomal subunit]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]; GO:0005730 [Name: nucleolus]; GO:0005791 [Name: rough endoplasmic reticulum]; GO:0042788 [Name: polysomal ribosome]	GO:0003735 [Name: structural constituent of ribosome]; GO:0003723 [Name: RNA binding]	hsa03010 [Pathway Title: Ribosome]
XP_020950364.1	HSD17B14	GO:0006706 [Name: steroid catabolic process]; GO:0055114 [Name: oxidation-reduction process]; GO:0006703 [Name: estrogen biosynthetic process]	GO:0005829 [Name: cytosol]	GO:0042802 [Name: identical protein binding]; GO:0005515 [Name: protein binding]; GO:0004303 [Name: estradiol 17-beta-dehydrogenase activity]; GO:0047045 [Name: testosterone 17-beta-dehydrogenase (NADP+) activity]	-
XP_020950415.1;XP_020950414.1;XP_003356047.1;XP_003356049.1	PRMT1	"GO:0034969 [Name: histone arginine methylation]; GO:0051260 [Name: protein homooligomerization]; GO:0006977 [Name: DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest]; GO:0043985 [Name: histone H4-R3 methylation]; GO:0019919 [Name: peptidyl-arginine methylation, to asymmetrical-dimethyl arginine]; GO:0006479 [Name: protein methylation]; GO:0008284 [Name: positive regulation of cell proliferation]; GO:0001701 [Name: in utero embryonic development]; GO:0006355 [Name: regulation of transcription, DNA-templated]; GO:0007166 [Name: cell surface receptor signaling pathway]; GO:0018216 [Name: peptidyl-arginine methylation]; GO:0045653 [Name: negative regulation of megakaryocyte differentiation]; GO:0046985 [Name: positive regulation of hemoglobin biosynthetic process]; GO:0031175 [Name: neuron projection development]; GO:0045648 [Name: positive regulation of erythrocyte differentiation]; GO:1900745 [Name: positive regulation of p38MAPK cascade]; GO:0016571 [Name: histone methylation]; GO:0045652 [Name: regulation of megakaryocyte differentiation]"	GO:0005829 [Name: cytosol]; GO:0005654 [Name: nucleoplasm]; GO:0005634 [Name: nucleus]; GO:0034709 [Name: methylosome]; GO:0005737 [Name: cytoplasm]	GO:0019899 [Name: enzyme binding]; GO:0003723 [Name: RNA binding]; GO:0008276 [Name: protein methyltransferase activity]; GO:0035242 [Name: protein-arginine omega-N asymmetric methyltransferase activity]; GO:0005515 [Name: protein binding]; GO:0008327 [Name: methyl-CpG binding]; GO:0044020 [Name: histone methyltransferase activity (H4-R3 specific)]; GO:1904047 [Name: S-adenosyl-L-methionine binding]; GO:0008469 [Name: histone-arginine N-methyltransferase activity]; GO:0042054 [Name: histone methyltransferase activity]; GO:0048273 [Name: mitogen-activated protein kinase p38 binding]; GO:0008170 [Name: N-methyltransferase activity]; GO:0042802 [Name: identical protein binding]; GO:0035241 [Name: protein-arginine omega-N monomethyltransferase activity]; GO:0008168 [Name: methyltransferase activity]; GO:0016274 [Name: protein-arginine N-methyltransferase activity]	hsa04922 [Pathway Title: Glucagon signaling pathway]; hsa04068 [Pathway Title: FoxO signaling pathway]
XP_020950419.1;XP_020950417.1	AP2A1	"GO:0072583 [Name: clathrin-dependent endocytosis]; GO:0006886 [Name: intracellular protein transport]; GO:0010976 [Name: positive regulation of neuron projection development]; GO:0048260 [Name: positive regulation of receptor-mediated endocytosis]; GO:0061024 [Name: membrane organization]; GO:0060071 [Name: Wnt signaling pathway, planar cell polarity pathway]; GO:0006895 [Name: Golgi to endosome transport]; GO:0006897 [Name: endocytosis]; GO:0019886 [Name: antigen processing and presentation of exogenous peptide antigen via MHC class II]; GO:0048013 [Name: ephrin receptor signaling pathway]; GO:1900126 [Name: negative regulation of hyaluronan biosynthetic process]; GO:0034383 [Name: low-density lipoprotein particle clearance]; GO:0050690 [Name: regulation of defense response to virus by virus]; GO:0032802 [Name: low-density lipoprotein particle receptor catabolic process]"	GO:0030130 [Name: clathrin coat of trans-Golgi network vesicle]; GO:0032433 [Name: filopodium tip]; GO:0030669 [Name: clathrin-coated endocytic vesicle membrane]; GO:0045334 [Name: clathrin-coated endocytic vesicle]; GO:0016324 [Name: apical plasma membrane]; GO:0005886 [Name: plasma membrane]; GO:0030666 [Name: endocytic vesicle membrane]; GO:0030122 [Name: AP-2 adaptor complex]; GO:0036020 [Name: endolysosome membrane]; GO:0016323 [Name: basolateral plasma membrane]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]	GO:0044877 [Name: macromolecular complex binding]; GO:0008022 [Name: protein C-terminus binding]; GO:0035615 [Name: clathrin adaptor activity]; GO:0019901 [Name: protein kinase binding]; GO:0050750 [Name: low-density lipoprotein particle receptor binding]; GO:0005515 [Name: protein binding]	hsa04961 [Pathway Title: Endocrine and other factor-regulated calcium reabsorption]; hsa04144 [Pathway Title: Endocytosis]; hsa05016 [Pathway Title: Huntington's disease]; hsa04721 [Pathway Title: Synaptic vesicle cycle]
XP_020950426.1;XP_005664809.1;XP_005664808.1	AKT1S1	GO:0006469 [Name: negative regulation of protein kinase activity]; GO:0048011 [Name: neurotrophin TRK receptor signaling pathway]; GO:0042981 [Name: regulation of apoptotic process]; GO:0043523 [Name: regulation of neuron apoptotic process]; GO:0045792 [Name: negative regulation of cell size]; GO:1900034 [Name: regulation of cellular response to heat]; GO:0032007 [Name: negative regulation of TOR signaling]	GO:0005654 [Name: nucleoplasm]; GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]; GO:0031931 [Name: TORC1 complex]	GO:0005515 [Name: protein binding]	hsa04150 [Pathway Title: mTOR signaling pathway]; hsa04152 [Pathway Title: AMPK signaling pathway]
XP_020950448.1;XP_020950447.1;XP_020950446.1;XP_020950445.1;XP_020950443.1;XP_020950442.1;XP_020950441.1;XP_020950440.1	MYH14	GO:0007605 [Name: sensory perception of sound]; GO:0071625 [Name: vocalization behavior]; GO:0030048 [Name: actin filament-based movement]; GO:0031032 [Name: actomyosin structure organization]; GO:0008360 [Name: regulation of cell shape]; GO:0019228 [Name: neuronal action potential]; GO:0070584 [Name: mitochondrion morphogenesis]; GO:0003009 [Name: skeletal muscle contraction]; GO:0007519 [Name: skeletal muscle tissue development]	GO:0001725 [Name: stress fiber]; GO:0005903 [Name: brush border]; GO:0016460 [Name: myosin II complex]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]; GO:0042641 [Name: actomyosin]; GO:0070062 [Name: extracellular exosome]; GO:0097513 [Name: myosin II filament]; GO:0030426 [Name: growth cone]	GO:0005516 [Name: calmodulin binding]; GO:0030898 [Name: actin-dependent ATPase activity]; GO:0051015 [Name: actin filament binding]; GO:0000146 [Name: microfilament motor activity]; GO:0005524 [Name: ATP binding]; GO:0016887 [Name: ATPase activity]	hsa04530 [Pathway Title: Tight junction]; hsa04810 [Pathway Title: Regulation of actin cytoskeleton]; hsa05132 [Pathway Title: Salmonella infection]
XP_020950538.1;XP_020950537.1	RPS9	"GO:0006614 [Name: SRP-dependent cotranslational protein targeting to membrane]; GO:0000184 [Name: nuclear-transcribed mRNA catabolic process, nonsense-mediated decay]; GO:0006412 [Name: translation]; GO:0008284 [Name: positive regulation of cell proliferation]; GO:0006364 [Name: rRNA processing]; GO:0006413 [Name: translational initiation]; GO:0045903 [Name: positive regulation of translational fidelity]"	GO:0005829 [Name: cytosol]; GO:0005654 [Name: nucleoplasm]; GO:0005730 [Name: nucleolus]; GO:0045202 [Name: synapse]; GO:0070062 [Name: extracellular exosome]; GO:0005634 [Name: nucleus]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0005925 [Name: focal adhesion]; GO:0022627 [Name: cytosolic small ribosomal subunit]; GO:0005840 [Name: ribosome]	GO:0045182 [Name: translation regulator activity]; GO:0003735 [Name: structural constituent of ribosome]; GO:0005515 [Name: protein binding]; GO:0019843 [Name: rRNA binding]; GO:0003723 [Name: RNA binding]	hsa03010 [Pathway Title: Ribosome]
XP_020950568.1;XP_020950567.1;XP_003127453.1;XP_003127452.1	MYADM	GO:0030335 [Name: positive regulation of cell migration]; GO:0045217 [Name: cell-cell junction maintenance]; GO:0090038 [Name: negative regulation of protein kinase C signaling]; GO:0010810 [Name: regulation of cell-substrate adhesion]; GO:0034115 [Name: negative regulation of heterotypic cell-cell adhesion]; GO:0031579 [Name: membrane raft organization]; GO:1900026 [Name: positive regulation of substrate adhesion-dependent cell spreading]; GO:0072659 [Name: protein localization to plasma membrane]; GO:0010629 [Name: negative regulation of gene expression]; GO:0061028 [Name: establishment of endothelial barrier]; GO:0001933 [Name: negative regulation of protein phosphorylation]; GO:0030837 [Name: negative regulation of actin filament polymerization]	GO:0030864 [Name: cortical actin cytoskeleton]; GO:0005886 [Name: plasma membrane]; GO:0001726 [Name: ruffle]; GO:0005911 [Name: cell-cell junction]; GO:0016021 [Name: integral component of membrane]; GO:0045121 [Name: membrane raft]	GO:0003674 [Name: molecular_function]	-
XP_020950674.1;XP_020950673.1;XP_020950672.1;XP_020950671.1;XP_020950670.1;XP_020950668.1;XP_020950669.1	RPL28	"GO:0000184 [Name: nuclear-transcribed mRNA catabolic process, nonsense-mediated decay]; GO:0006614 [Name: SRP-dependent cotranslational protein targeting to membrane]; GO:0006413 [Name: translational initiation]; GO:0006412 [Name: translation]"	GO:0022625 [Name: cytosolic large ribosomal subunit]; GO:0030425 [Name: dendrite]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]; GO:0044297 [Name: cell body]; GO:0036464 [Name: cytoplasmic ribonucleoprotein granule]; GO:0005829 [Name: cytosol]	GO:0005515 [Name: protein binding]; GO:0003723 [Name: RNA binding]; GO:0003735 [Name: structural constituent of ribosome]	hsa03010 [Pathway Title: Ribosome]
XP_020950699.1;XP_020950700.1	ISOC2	GO:0031648 [Name: protein destabilization]	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]	GO:0005515 [Name: protein binding]; GO:0003824 [Name: catalytic activity]	-
XP_020950836.1;XP_020950837.1	AGRN	GO:0001523 [Name: retinoid metabolic process]; GO:0007010 [Name: cytoskeleton organization]; GO:0050808 [Name: synapse organization]; GO:0030198 [Name: extracellular matrix organization]; GO:0045162 [Name: clustering of voltage-gated sodium channels]; GO:0007213 [Name: G-protein coupled acetylcholine receptor signaling pathway]; GO:0043547 [Name: positive regulation of GTPase activity]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0007165 [Name: signal transduction]; GO:0043113 [Name: receptor clustering]; GO:0051491 [Name: positive regulation of filopodium assembly]; GO:0006024 [Name: glycosaminoglycan biosynthetic process]; GO:0045887 [Name: positive regulation of synaptic growth at neuromuscular junction]; GO:0006027 [Name: glycosaminoglycan catabolic process]	GO:0005604 [Name: basement membrane]; GO:0030054 [Name: cell junction]; GO:0070062 [Name: extracellular exosome]; GO:0043202 [Name: lysosomal lumen]; GO:0005576 [Name: extracellular region]; GO:0005796 [Name: Golgi lumen]; GO:0005886 [Name: plasma membrane]; GO:0005829 [Name: cytosol]; GO:0016021 [Name: integral component of membrane]; GO:0045202 [Name: synapse]	GO:0002162 [Name: dystroglycan binding]; GO:0005201 [Name: extracellular matrix structural constituent]; GO:0043236 [Name: laminin binding]; GO:0035374 [Name: chondroitin sulfate binding]; GO:0033691 [Name: sialic acid binding]; GO:0043395 [Name: heparan sulfate proteoglycan binding]; GO:0005515 [Name: protein binding]; GO:0005200 [Name: structural constituent of cytoskeleton]; GO:0005509 [Name: calcium ion binding]	hsa04512 [Pathway Title: ECM-receptor interaction]
XP_020950862.1;XP_013844186.1;XP_005656043.1	RER1	"GO:0071340 [Name: skeletal muscle acetylcholine-gated channel clustering]; GO:0006621 [Name: protein retention in ER lumen]; GO:0006890 [Name: retrograde vesicle-mediated transport, Golgi to ER]; GO:1903078 [Name: positive regulation of protein localization to plasma membrane]"	GO:0005794 [Name: Golgi apparatus]; GO:0005793 [Name: endoplasmic reticulum-Golgi intermediate compartment]; GO:0009986 [Name: cell surface]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005886 [Name: plasma membrane]; GO:0030173 [Name: integral component of Golgi membrane]	GO:0003674 [Name: molecular_function]; GO:0033130 [Name: acetylcholine receptor binding]	-
XP_020950890.1	LRRC47	-	-	GO:0004826 [Name: phenylalanine-tRNA ligase activity]; GO:0003723 [Name: RNA binding]; GO:0005515 [Name: protein binding]	-
